date,0288ae776393eac1b8777d0956869e827da48fe38fffbe68ca81f1a5be6bbf52,04db7f85cb4e19ffbc88ad91860ed26e46c2c646614774dc6aaf23f0452c8184,OT
2020/10/2 12:00,373373,625957,999330
2020/10/2 13:00,184841,587323,772164
2020/10/2 14:00,119382,560441,679823
2020/10/2 15:00,97094,548882,645976
2020/10/2 16:00,67184,603690,670874
2020/10/2 17:00,120621,643950,764571
2020/10/2 18:00,384577,657377,1041954
2020/10/2 19:00,720932,650438,1371370
2020/10/2 20:00,801922,631206,1433128
2020/10/2 21:00,755824,550483,1306307
2020/10/2 22:00,875830,493364,1369194
2020/10/2 23:00,1140752,392859,1533611
2020/10/9 0:00,1227892,339011,1566903
2020/10/9 1:00,812610,213634,1026244
2020/10/9 2:00,756090,163392,919482
2020/10/9 3:00,781689,129371,911060
2020/10/9 4:00,880397,126480,1006877
2020/10/9 5:00,1083141,197534,1280675
2020/10/9 6:00,1100905,353770,1454675
2020/10/9 7:00,927594,500038,1427632
2020/10/9 8:00,858215,616154,1474369
2020/10/9 9:00,764694,637742,1402436
2020/10/9 10:00,672255,618315,1290570
2020/10/9 11:00,510000,686658,1196658
2020/10/9 12:00,257207,701158,958365
2020/10/9 13:00,194038,594415,788453
2020/10/9 14:00,196328,625256,821584
2020/10/9 15:00,51373,627415,678788
2020/10/9 16:00,43142,685101,728243
2020/10/9 17:00,63513,777561,841074
2020/10/9 18:00,149716,678764,828480
2020/10/9 19:00,255375,695565,950940
2020/10/9 20:00,300781,600840,901621
2020/10/9 21:00,325052,571015,896067
2020/10/9 22:00,393027,522082,915109
2020/10/9 23:00,525336,433707,959043
2020/10/12 0:00,531376,340311,871687
2020/10/12 1:00,366804,216565,583369
2020/10/12 2:00,353532,161012,514544
2020/10/12 3:00,364890,130179,495069
2020/10/12 4:00,417412,125111,542523
2020/10/12 5:00,454291,189025,643316
2020/10/12 6:00,436090,339281,775371
2020/10/12 7:00,380398,485029,865427
2020/10/12 8:00,398973,717572,1116545
2020/10/12 9:00,335018,567202,902220
2020/10/12 10:00,332068,607139,939207
2020/10/12 11:00,345463,666990,1012453
2020/10/12 12:00,335464,653199,988663
2020/10/12 13:00,328076,565072,893148
2020/10/12 14:00,244231,545952,790183
2020/10/12 15:00,220389,534298,754687
2020/10/12 16:00,194937,603931,798868
2020/10/12 17:00,70952,702108,773060
2020/10/12 18:00,87436,690791,778227
2020/10/12 19:00,181775,689020,870795
2020/10/12 20:00,287787,630879,918666
2020/10/12 21:00,346038,641454,987492
2020/10/12 22:00,360339,547924,908263
2020/10/12 23:00,424456,440211,864667
2020/10/13 0:00,547922,370837,918759
2020/10/13 0:00,554282,345261,899543
2020/10/13 1:00,401292,225050,626342
2020/10/13 2:00,379850,163713,543563
2020/10/13 3:00,371671,141148,512819
2020/10/13 4:00,375668,129684,505352
2020/10/13 5:00,421427,208420,629847
2020/10/13 6:00,427382,380516,807898
2020/10/13 7:00,379195,525369,904564
2020/10/13 8:00,365612,614759,980371
2020/10/13 9:00,339287,615384,954671
2020/10/13 10:00,320100,654279,974379
2020/10/13 11:00,249161,725950,975111
2020/10/13 12:00,200921,727532,928453
2020/10/13 13:00,123524,614381,737905
2020/10/13 14:00,71576,561070,632646
2020/10/13 15:00,54285,558299,612584
2020/10/13 16:00,46796,644536,691332
2020/10/13 17:00,58830,717905,776735
2020/10/13 18:00,149571,745172,894743
2020/10/13 19:00,255315,690715,946030
2020/10/13 20:00,306751,663616,970367
2020/10/13 21:00,329084,634007,963091
2020/10/13 22:00,396326,546150,942476
2020/10/13 23:00,499868,422456,922324
2020/10/14 0:00,530828,368999,899827
2020/10/14 1:00,355620,221387,577007
2020/10/14 2:00,351164,170962,522126
2020/10/14 3:00,343100,145789,488889
2020/10/14 4:00,377384,129788,507172
2020/10/14 5:00,420836,212754,633590
2020/10/14 6:00,424415,364832,789247
2020/10/14 7:00,369065,525899,894964
2020/10/14 8:00,433705,598948,1032653
2020/10/14 9:00,419088,601653,1020741
2020/10/14 10:00,398019,681499,1079518
2020/10/14 11:00,321398,740992,1062390
2020/10/14 12:00,180361,712252,892613
2020/10/14 13:00,201914,595113,797027
2020/10/14 14:00,117808,558678,676486
2020/10/14 15:00,72717,565309,638026
2020/10/14 16:00,52780,623906,676686
2020/10/14 17:00,45198,722565,767763
2020/10/14 18:00,65596,747331,812927
2020/10/14 19:00,155212,695709,850921
2020/10/14 20:00,261728,660201,921929
2020/10/14 21:00,304790,624642,929432
2020/10/14 22:00,333730,562914,896644
2020/10/14 23:00,398192,434835,833027
2020/10/15 0:00,519953,371162,891115
2020/10/15 1:00,509795,224178,733973
2020/10/15 2:00,359866,171911,531777
2020/10/15 3:00,348390,137310,485700
2020/10/15 4:00,381395,129562,510957
2020/10/15 5:00,397287,205035,602322
2020/10/15 6:00,163344,386508,549852
2020/10/15 7:00,68556,531428,599984
2020/10/15 8:00,380804,631951,1012755
2020/10/15 9:00,338789,651451,990240
2020/10/15 10:00,331663,675098,1006761
2020/10/15 11:00,258824,742852,1001676
2020/10/15 12:00,207721,715892,923613
2020/10/15 14:00,233181,565477,798658
2020/10/15 15:00,118332,568269,686601
2020/10/15 16:00,73183,646041,719224
2020/10/15 17:00,54589,734593,789182
2020/10/15 18:00,42859,768641,811500
2020/10/15 19:00,62778,708766,771544
2020/10/15 20:00,143116,672719,815835
2020/10/15 21:00,249240,613412,862652
2020/10/15 22:00,303122,558232,861354
2020/10/15 23:00,323159,443876,767035
2020/10/16 0:00,408209,376917,785126
2020/10/16 1:00,601667,234181,835848
2020/10/16 2:00,549903,171759,721662
2020/10/16 3:00,385534,139949,525483
2020/10/16 4:00,378507,130387,508894
2020/10/16 5:00,364640,213701,578341
2020/10/16 6:00,381602,389624,771226
2020/10/16 7:00,434861,539466,974327
2020/10/16 8:00,468839,621618,1090457
2020/10/16 9:00,389169,604406,993575
2020/10/16 10:00,403520,684636,1088156
2020/10/16 11:00,348201,742564,1090765
2020/10/16 12:00,417063,720926,1137989
2020/10/16 13:00,341227,614537,955764
2020/10/16 14:00,196983,579516,776499
2020/10/16 15:00,114580,579168,693748
2020/10/16 16:00,69143,656711,725854
2020/10/16 17:00,48074,749425,797499
2020/10/16 18:00,41773,768929,810702
2020/10/16 19:00,56979,749101,806080
2020/10/16 20:00,138633,702803,841436
2020/10/16 21:00,146823,646048,792871
2020/10/16 22:00,499804,572269,1072073
2020/10/16 23:00,501223,464544,965767
2020/10/19 0:00,355122,368826,723948
2020/10/19 1:00,355509,239031,594540
2020/10/19 2:00,336993,174403,511396
2020/10/19 3:00,368380,140059,508439
2020/10/19 4:00,407410,141949,549359
2020/10/19 5:00,437327,222957,660284
2020/10/19 6:00,353909,410661,764570
2020/10/19 7:00,363119,538193,901312
2020/10/19 8:00,280733,562666,843399
2020/10/19 11:00,218662,721453,940115
2020/10/19 12:00,156124,713298,869422
2020/10/19 13:00,67636,601210,668846
2020/10/19 14:00,152743,580631,733374
2020/10/19 15:00,98772,586043,684815
2020/10/19 16:00,58543,634719,693262
2020/10/19 17:00,40516,742090,782606
2020/10/19 18:00,266560,762623,1029183
2020/10/19 19:00,273544,712347,985891
2020/10/19 20:00,256124,693694,949818
2020/10/19 21:00,294117,619583,913700
2020/10/19 22:00,326430,533304,859734
2020/10/19 23:00,325051,474314,799365
2020/10/20 0:00,275637,364624,640261
2020/10/21 0:00,307408,368904,676312
2020/10/21 1:00,309223,256443,565666
2020/10/21 2:00,261898,174189,436087
2020/10/21 3:00,238694,140454,379148
2020/10/21 13:00,215041,599477,814518
2020/10/21 14:00,228545,613849,842394
2020/10/21 15:00,118049,583775,701824
2020/10/21 16:00,143393,651496,794889
2020/10/21 17:00,90997,769533,860530
2020/10/21 18:00,152632,759402,912034
2020/10/21 19:00,158156,694356,852512
2020/10/21 20:00,116775,677802,794577
2020/10/21 21:00,204576,652737,857313
2020/10/21 22:00,238293,589028,827321
2020/10/21 23:00,254242,471982,726224
2020/10/22 0:00,297451,375632,673083
2020/10/22 0:00,413637,375632,789269
2020/10/22 1:00,424335,234462,658797
2020/10/22 2:00,282799,174788,457587
2020/10/22 3:00,283429,141173,424602
2020/10/22 4:00,265150,138334,403484
2020/10/22 5:00,283811,231779,515590
2020/10/22 6:00,326102,435923,762025
2020/10/22 7:00,326710,552038,878748
2020/10/22 8:00,280348,638947,919295
2020/10/22 9:00,271848,652472,924320
2020/10/22 10:00,264928,667874,932802
2020/10/22 11:00,188825,725844,914669
2020/10/22 12:00,288790,732500,1021290
2020/10/22 13:00,195498,604946,800444
2020/10/22 14:00,90813,573792,664605
2020/10/22 15:00,56962,574582,631544
2020/10/22 16:00,44207,649911,694118
2020/10/22 17:00,35386,765657,801043
2020/10/22 18:00,50352,773630,823982
2020/10/22 19:00,121100,717253,838353
2020/10/22 20:00,207726,713002,920728
2020/10/22 21:00,245673,661102,906775
2020/10/22 22:00,259891,585180,845071
2020/10/22 23:00,345247,478160,823407
2020/10/23 0:00,460801,389135,849936
2020/10/23 1:00,538069,247042,785111
2020/10/23 2:00,325144,182540,507684
2020/10/23 3:00,404920,145602,550522
2020/10/23 4:00,333964,148764,482728
2020/10/23 5:00,333344,234550,567894
2020/10/23 6:00,377140,421598,798738
2020/10/23 7:00,368048,571065,939113
2020/10/23 8:00,345076,651493,996569
2020/10/23 9:00,337007,675712,1012719
2020/10/23 10:00,337021,696206,1033227
2020/10/23 11:00,348309,756238,1104547
2020/10/23 12:00,280921,782005,1062926
2020/10/23 13:00,430293,670174,1100467
2020/10/23 14:00,105196,629402,734598
2020/10/23 15:00,73395,616852,690247
2020/10/23 16:00,58716,699225,757941
2020/10/23 17:00,47002,815959,862961
2020/10/23 18:00,52153,822936,875089
2020/10/23 19:00,112742,779879,892621
2020/10/23 20:00,192906,742827,935733
2020/10/23 21:00,245441,677662,923103
2020/10/23 22:00,266054,603652,869706
2020/10/23 23:00,323025,501074,824099
2020/10/31 0:00,464647,421956,886603
2020/10/31 1:00,536171,265826,801997
2020/10/31 2:00,364342,199175,563517
2020/10/31 3:00,389418,156632,546050
2020/10/31 4:00,440667,141441,582108
2020/10/31 5:00,373142,211940,585082
2020/10/31 6:00,455144,377627,832771
2020/10/31 7:00,558673,565241,1123914
2020/10/31 8:00,383073,626546,1009619
2020/10/31 9:00,456576,665667,1122243
2020/10/31 10:00,379255,725103,1104358
2020/10/31 11:00,423903,818929,1242832
2020/10/31 12:00,329361,806368,1135729
2020/10/31 13:00,86465,692328,778793
2020/10/31 14:00,282690,678099,960789
2020/10/31 15:00,165101,674081,839182
2020/10/31 16:00,152132,706601,858733
2020/10/31 17:00,50339,812089,862428
2020/10/31 18:00,65317,820874,886191
2020/10/31 19:00,74826,786222,861048
2020/10/31 20:00,141345,744216,885561
2020/10/31 21:00,254479,665052,919531
2020/10/31 22:00,285499,550944,836443
2020/10/31 23:00,302568,473776,776344
2020/11/1 0:00,373932,408006,781938
2020/11/5 0:59,483578,397776,881354
2020/11/5 1:59,615167,250378,865545
2020/11/5 2:59,333132,182750,515882
2020/11/5 3:59,329389,151787,481176
2020/11/5 4:59,380778,149087,529865
2020/11/5 5:59,328612,234164,562776
2020/11/5 6:59,410791,427760,838551
2020/11/5 7:59,386044,608182,994226
2020/11/5 8:59,342796,1006596,1349392
2020/11/5 9:59,381487,1008758,1390245
2020/11/5 10:59,322267,727496,1049763
2020/11/5 11:59,341224,790527,1131751
2020/11/5 12:59,229986,858542,1088528
2020/11/5 13:59,210227,677584,887811
2020/11/5 14:59,135031,657582,792613
2020/11/5 15:59,82322,657390,739712
2020/11/5 16:59,61124,707979,769103
2020/11/5 17:59,57734,822425,880159
2020/11/5 18:59,78441,823681,902122
2020/11/5 19:59,148695,782810,931505
2020/11/5 20:59,246203,742030,988233
