date,0131eef5ec10be23b05c6374c3c96876ffa3d77b53457976d730ed0278c1213a,0302d31515d7968f1fa9a590b91d12bc6ea570f0c37c5f8b4ae7939eaef12911,OT
2020/9/7 5:00,66857,17214,84071
2020/9/7 6:00,94084,50999,145083
2020/9/7 16:00,93764,150212,243976
2020/9/7 19:00,75901,147181,223082
2020/9/8 0:00,53750,54801,108551
2020/9/8 1:00,27619,25451,53070
2020/9/8 2:00,16283,15126,31409
2020/9/8 3:00,11315,10013,21328
2020/9/8 4:00,8838,8557,17395
2020/9/8 5:00,6896,17518,24414
2020/9/8 6:00,15447,57025,72472
2020/9/8 7:00,53574,110104,163678
2020/9/8 8:00,101076,118318,219394
2020/9/8 9:00,106745,108572,215317
2020/9/8 10:00,95300,120430,215730
2020/9/8 11:00,99814,158530,258344
2020/9/8 12:00,130090,161887,291977
2020/9/8 13:00,136675,120007,256682
2020/9/8 14:00,80182,104045,184227
2020/9/8 15:00,69923,107540,177463
2020/9/8 16:00,79768,128095,207863
2020/9/8 17:00,96744,163837,260581
2020/9/8 18:00,128127,167948,296075
2020/9/8 19:00,132882,147175,280057
2020/9/8 20:00,117240,127126,244366
2020/9/8 21:00,95268,109859,205127
2020/9/8 22:00,81647,86699,168346
2020/9/8 23:00,60139,62120,122259
2020/9/9 0:00,39168,51138,90306
2020/9/9 1:00,30759,23937,54696
2020/9/9 2:00,17604,14066,31670
2020/9/9 3:00,13508,9948,23456
2020/9/9 4:00,9993,8541,18534
2020/9/9 5:00,8374,17287,25661
2020/9/9 6:00,16942,60480,77422
2020/9/9 7:00,54039,121360,175399
2020/9/9 8:00,104286,131069,235355
2020/9/9 9:00,114012,115958,229970
2020/9/9 10:00,96002,119244,215246
2020/9/9 11:00,101230,163414,264644
2020/9/9 12:00,135797,180452,316249
2020/9/9 13:00,147770,114777,262547
2020/9/9 14:00,81197,96717,177914
2020/9/9 15:00,72605,100472,173077
2020/9/9 16:00,80194,121272,201466
2020/9/9 17:00,97034,162060,259094
2020/9/9 18:00,126684,168794,295478
2020/9/9 19:00,134364,146846,281210
2020/9/9 20:00,116027,123438,239465
2020/9/9 21:00,97090,104953,202043
2020/9/9 22:00,79468,84714,164182
2020/9/9 23:00,57566,62273,119839
2020/9/26 0:00,39111,57786,96897
2020/9/26 1:00,27462,25268,52730
2020/9/26 2:00,17104,15521,32625
2020/9/26 3:00,11648,10637,22285
2020/9/26 4:00,8715,8888,17603
2020/9/26 5:00,7219,16627,23846
2020/9/26 6:00,12693,57971,70664
2020/9/26 7:00,41872,114735,156607
2020/9/26 8:00,79367,122423,201790
2020/9/26 9:00,89107,110627,199734
2020/9/26 10:00,98299,110708,209007
2020/9/26 11:00,102338,162509,264847
2020/9/26 12:00,135532,147332,282864
2020/9/26 13:00,112953,110401,223354
2020/9/26 14:00,87229,99309,186538
2020/9/26 15:00,76007,102342,178349
2020/9/26 16:00,83573,124865,208438
2020/9/26 17:00,101935,157948,259883
2020/9/26 18:00,121351,158544,279895
2020/9/26 19:00,115816,144714,260530
2020/9/26 20:00,102940,120720,223660
2020/9/26 21:00,79573,106525,186098
2020/9/26 22:00,66492,83273,149765
2020/9/26 23:00,47600,52907,100507
2020/9/27 0:00,29872,56581,86453
2020/9/27 1:00,25771,24988,50759
2020/9/27 2:00,15936,14849,30785
2020/9/27 3:00,11002,9973,20975
2020/9/27 4:00,8072,8634,16706
2020/9/27 5:00,6693,16307,23000
2020/9/27 6:00,13402,54281,67683
2020/9/27 7:00,46700,106027,152727
2020/9/27 8:00,90197,117829,208026
2020/9/27 9:00,100750,113454,214204
2020/9/27 10:00,88036,133462,221498
2020/9/27 11:00,97417,134549,231966
2020/9/27 13:00,103868,120623,224491
2020/9/27 14:00,83834,102061,185895
2020/9/27 15:00,69221,106707,175928
2020/9/27 16:00,79115,127257,206372
2020/9/27 17:00,101952,168286,270238
2020/9/27 18:00,122716,180572,303288
2020/9/27 19:00,133306,195690,328996
2020/9/27 20:00,105798,140384,246182
2020/9/27 21:00,86064,125343,211407
2020/9/27 22:00,72141,88800,160941
2020/9/27 23:00,53347,62760,116107
2020/9/28 0:00,36093,56872,92965
2020/9/29 0:00,24645,55286,79931
2020/9/29 1:00,15678,23935,39613
2020/9/29 2:00,10118,14498,24616
2020/9/29 3:00,7481,9991,17472
2020/9/29 4:00,6696,8528,15224
2020/9/29 5:00,12740,16764,29504
2020/9/29 6:00,46525,58599,105124
2020/9/29 7:00,91728,110941,202669
2020/9/29 8:00,93692,122487,216179
2020/9/29 9:00,84252,113922,198174
2020/9/29 10:00,93842,137244,231086
2020/9/29 11:00,124324,165224,289548
2020/9/29 12:00,135959,174030,309989
2020/9/29 13:00,74997,118612,193609
2020/9/29 14:00,65216,111356,176572
2020/9/29 15:00,73140,112419,185559
2020/9/29 16:00,88094,133839,221933
2020/9/29 17:00,113142,159427,272569
2020/9/29 18:00,116251,170025,286276
2020/9/29 19:00,96908,147012,243920
2020/9/29 20:00,80297,125322,205619
2020/9/29 21:00,63797,106115,169912
2020/9/29 22:00,50762,88474,139236
2020/9/29 23:00,35667,65482,101149
2020/10/2 0:00,22853,48890,71743
2020/10/2 1:00,15941,25653,41594
2020/10/2 2:00,11493,15903,27396
2020/10/2 3:00,8473,10413,18886
2020/10/2 4:00,6514,8996,15510
2020/10/2 5:00,9167,14382,23549
2020/10/2 6:00,26051,45790,71841
2020/10/2 7:00,48834,88954,137788
2020/10/2 8:00,71444,112406,183850
2020/10/2 9:00,85231,113838,199069
2020/10/2 10:00,94090,128253,222343
2020/10/2 11:00,100268,154887,255155
2020/10/2 12:00,94284,167050,261334
2020/10/2 13:00,75835,116542,192377
2020/10/2 14:00,75055,108520,183575
2020/10/2 15:00,79079,109808,188887
2020/10/2 16:00,84275,126834,211109
2020/10/2 17:00,90508,149465,239973
2020/10/2 18:00,93899,158510,252409
2020/10/2 19:00,79711,135043,214754
2020/10/2 20:00,71950,124172,196122
2020/10/2 21:00,61664,107083,168747
2020/10/2 22:00,47396,84705,132101
2020/10/2 23:00,32918,60594,93512
2020/10/9 0:00,24352,54808,79160
2020/10/9 1:00,15090,25036,40126
2020/10/9 2:00,10854,14823,25677
2020/10/9 3:00,7680,9749,17429
2020/10/9 4:00,6204,8314,14518
2020/10/9 5:00,11939,16042,27981
2020/10/9 6:00,44822,57660,102482
2020/10/9 7:00,89193,120714,209907
2020/10/9 8:00,95884,132853,228737
2020/10/9 9:00,86257,116724,202981
2020/10/9 10:00,94836,125209,220045
2020/10/9 11:00,126947,163588,290535
2020/10/9 12:00,139195,177254,316449
2020/10/9 13:00,76440,113894,190334
2020/10/9 14:00,69403,102682,172085
2020/10/9 15:00,78040,105900,183940
2020/10/9 16:00,94676,129351,224027
2020/10/9 17:00,122711,169249,291960
2020/10/9 18:00,123734,172854,296588
2020/10/9 19:00,99825,148621,248446
2020/10/9 20:00,81879,127437,209316
2020/10/9 21:00,68464,112100,180564
2020/10/9 22:00,50848,87216,138064
2020/10/9 23:00,35539,63894,99433
2020/10/12 0:00,19696,58367,78063
2020/10/12 1:00,12202,26778,38980
2020/10/12 2:00,8366,15946,24312
2020/10/12 3:00,6391,10430,16821
2020/10/12 4:00,5204,8410,13614
2020/10/12 5:00,8950,14915,23865
2020/10/12 6:00,35470,48931,84401
2020/10/12 7:00,69159,96500,165659
2020/10/12 8:00,75172,122149,197321
2020/10/12 9:00,64182,126617,190799
2020/10/12 10:00,67580,150107,217687
2020/10/12 11:00,96155,172480,268635
2020/10/12 12:00,103432,177874,281306
2020/10/12 13:00,58645,137001,195646
2020/10/12 14:00,48902,122460,171362
2020/10/12 15:00,55779,123167,178946
2020/10/12 16:00,69399,142850,212249
2020/10/12 17:00,91315,171560,262875
2020/10/12 18:00,90298,172778,263076
2020/10/12 19:00,71454,149826,221280
2020/10/12 20:00,59126,133207,192333
2020/10/12 21:00,51621,114670,166291
2020/10/12 22:00,39646,91808,131454
2020/10/12 23:00,26439,64988,91427
2020/10/13 0:00,19884,55923,75807
2020/10/13 0:00,18245,55923,74168
2020/10/13 1:00,11633,25508,37141
2020/10/13 2:00,8598,14818,23416
2020/10/13 3:00,6252,10075,16327
2020/10/13 4:00,5025,8351,13376
2020/10/13 5:00,8362,15720,24082
2020/10/13 6:00,33591,56125,89716
2020/10/13 7:00,71256,111038,182294
2020/10/13 8:00,72723,125296,198019
2020/10/13 9:00,63683,119215,182898
2020/10/13 10:00,65988,136675,202663
2020/10/13 11:00,95993,164624,260617
2020/10/13 12:00,103426,175306,278732
2020/10/13 13:00,57091,127961,185052
2020/10/13 14:00,47666,118289,165955
2020/10/13 15:00,54907,115025,169932
2020/10/13 16:00,68923,137323,206246
2020/10/13 17:00,88179,170293,258472
2020/10/13 18:00,86678,175257,261935
2020/10/13 19:00,71538,147204,218742
2020/10/13 20:00,57098,127163,184261
2020/10/13 21:00,49249,110409,159658
2020/10/13 22:00,37786,87172,124958
2020/10/13 23:00,25809,62569,88378
2020/10/14 0:00,17991,49718,67709
2020/10/14 1:00,11149,22904,34053
2020/10/14 2:00,8350,13539,21889
2020/10/14 3:00,6192,8721,14913
2020/10/14 4:00,5693,7487,13180
2020/10/14 5:00,8226,15355,23581
2020/10/14 6:00,32321,55332,87653
2020/10/14 7:00,66993,112398,179391
2020/10/14 8:00,72342,127969,200311
2020/10/14 9:00,61339,117200,178539
2020/10/14 10:00,65694,126828,192522
2020/10/14 11:00,91680,161199,252879
2020/10/14 12:00,99633,174138,273771
2020/10/14 13:00,56340,114161,170501
2020/10/14 14:00,48647,101077,149724
2020/10/14 15:00,54949,108308,163257
2020/10/14 16:00,66978,126103,193081
2020/10/14 17:00,89646,162237,251883
2020/10/14 18:00,89194,168668,257862
2020/10/14 19:00,68787,141301,210088
2020/10/14 20:00,57901,124895,182796
2020/10/14 21:00,50627,108803,159430
2020/10/14 22:00,38759,86557,125316
2020/10/14 23:00,25930,62103,88033
2020/10/15 0:00,20507,50569,71076
2020/10/15 1:00,15284,23076,38360
2020/10/15 2:00,10006,13677,23683
2020/10/15 3:00,7258,9396,16654
2020/10/15 4:00,6145,7396,13541
2020/10/15 5:00,8367,14484,22851
2020/10/15 6:00,32147,53261,85408
2020/10/15 7:00,66695,111585,178280
2020/10/15 8:00,71514,126865,198379
2020/10/15 9:00,63890,117917,181807
2020/10/15 10:00,67295,127731,195026
2020/10/15 11:00,93245,159579,252824
2020/10/15 12:00,95601,158174,253775
2020/10/15 14:00,48460,101165,149625
2020/10/15 15:00,53268,105043,158311
2020/10/15 16:00,67118,126737,193855
2020/10/15 17:00,89167,163399,252566
2020/10/15 18:00,88708,165747,254455
2020/10/15 19:00,68618,141618,210236
2020/10/15 20:00,56728,121389,178117
2020/10/15 21:00,48052,106380,154432
2020/10/15 22:00,38993,86380,125373
2020/10/15 23:00,27282,61431,88713
2020/10/16 0:00,19943,50935,70878
2020/10/16 0:00,12172,50972,63144
2020/10/16 1:00,9188,22672,31860
2020/10/16 2:00,6544,12187,18731
2020/10/16 3:00,5733,8683,14416
2020/10/16 4:00,8317,6966,15283
2020/10/16 5:00,31916,11530,43446
2020/10/16 6:00,67211,38376,105587
2020/10/16 7:00,72714,77628,150342
2020/10/16 8:00,62670,96614,159284
2020/10/16 9:00,69148,91670,160818
2020/10/16 10:00,107911,106637,214548
2020/10/16 11:00,100797,126332,227129
2020/10/16 12:00,58606,134606,193212
2020/10/16 13:00,48873,94737,143610
2020/10/16 14:00,54913,85971,140884
2020/10/16 15:00,69146,87301,156447
2020/10/16 16:00,87897,100837,188734
2020/10/16 17:00,88489,125322,213811
2020/10/16 18:00,72765,147248,220013
2020/10/16 19:00,61555,115921,177476
2020/10/16 20:00,53642,105343,158985
2020/10/16 21:00,40276,92071,132347
2020/10/16 22:00,28671,74376,103047
2020/10/16 23:00,18528,54207,72735
2020/10/19 0:00,11248,45552,56800
2020/10/19 1:00,8271,20267,28538
2020/10/19 2:00,5900,12150,18050
2020/10/19 3:00,4794,8044,12838
2020/10/19 4:00,8388,6398,14786
2020/10/19 5:00,33674,10380,44054
2020/10/19 6:00,34733,33011,67744
2020/10/19 7:00,95566,64976,160542
2020/10/19 8:00,97587,66059,163646
2020/10/19 11:00,58390,128151,186541
2020/10/19 12:00,47833,121410,169243
2020/10/19 13:00,55197,100926,156123
2020/10/19 14:00,67881,93317,161198
2020/10/19 15:00,88360,92152,180512
2020/10/19 16:00,90260,103633,193893
2020/10/19 17:00,70894,122347,193241
2020/10/19 18:00,57937,133319,191256
2020/10/19 19:00,50188,110408,160596
2020/10/19 20:00,37002,101629,138631
2020/10/19 21:00,26171,74115,100286
2020/10/19 22:00,17152,47810,64962
2020/10/19 23:00,20879,32848,53727
2020/10/20 0:00,15295,30122,45417
2020/10/21 0:00,9813,30354,40167
2020/10/21 1:00,6267,12292,18559
2020/10/21 2:00,58925,8309,67234
2020/10/21 3:00,50934,5358,56292
2020/10/21 13:00,49102,64319,113421
2020/10/21 14:00,71886,57104,128990
2020/10/21 15:00,90192,54651,144843
2020/10/21 16:00,90714,71850,162564
2020/10/21 17:00,71382,93923,165305
2020/10/21 18:00,58496,96637,155133
2020/10/21 19:00,51755,83285,135040
2020/10/21 20:00,38495,69988,108483
2020/10/21 21:00,26201,60388,86589
2020/10/21 22:00,17464,44889,62353
2020/10/21 23:00,19054,30641,49695
2020/10/22 0:00,11701,29918,41619
2020/10/22 0:00,8379,29918,38297
2020/10/22 1:00,7403,11814,19217
2020/10/22 2:00,5911,7416,13327
2020/10/22 3:00,8486,5520,14006
2020/10/22 4:00,33625,4497,38122
2020/10/22 5:00,69103,7756,76859
2020/10/22 6:00,73861,29640,103501
2020/10/22 7:00,64716,63017,127733
2020/10/22 8:00,69362,73817,143179
2020/10/22 9:00,96328,67166,163494
2020/10/22 10:00,103956,69021,172977
2020/10/22 11:00,58331,92035,150366
2020/10/22 12:00,50613,100482,151095
2020/10/22 13:00,56457,64386,120843
2020/10/22 14:00,70528,57410,127938
2020/10/22 15:00,93804,60265,154069
2020/10/22 16:00,93271,71715,164986
2020/10/22 17:00,72655,94728,167383
2020/10/22 18:00,59003,97499,156502
2020/10/22 19:00,51116,84154,135270
2020/10/22 20:00,39256,71981,111237
2020/10/22 21:00,26877,75408,102285
2020/10/22 22:00,20433,72823,93256
2020/10/22 23:00,12435,52546,64981
2020/10/23 0:00,8637,45132,53769
2020/10/23 1:00,7977,19664,27641
2020/10/23 2:00,5841,11887,17728
2020/10/23 3:00,8490,8250,16740
2020/10/23 4:00,33921,6305,40226
2020/10/23 5:00,70091,11201,81292
2020/10/23 6:00,73251,38010,111261
2020/10/23 7:00,63244,75912,139156
2020/10/23 8:00,72361,90752,163113
2020/10/23 9:00,100326,87128,187454
2020/10/23 10:00,106165,101202,207367
2020/10/23 11:00,61354,122687,184041
2020/10/23 12:00,52478,140977,193455
2020/10/23 13:00,59759,90063,149822
2020/10/23 14:00,72827,86710,159537
2020/10/23 15:00,92741,86158,178899
2020/10/23 16:00,93370,95432,188802
2020/10/23 17:00,78070,121169,199239
2020/10/23 18:00,64333,136426,200759
2020/10/23 19:00,55867,130364,186231
2020/10/23 20:00,41622,104284,145906
2020/10/23 21:00,29463,90574,120037
2020/10/23 22:00,21566,75342,96908
2020/10/23 23:00,12773,53070,65843
2020/10/31 0:00,12297,46980,59277
2020/10/31 1:00,6432,21832,28264
2020/10/31 2:00,5329,12806,18135
2020/10/31 3:00,7721,8857,16578
2020/10/31 4:00,26390,7204,33594
2020/10/31 5:00,54968,11440,66408
2020/10/31 6:00,63454,33573,97027
2020/10/31 7:00,68275,67170,135445
2020/10/31 8:00,83016,84465,167481
2020/10/31 9:00,99108,86760,185868
2020/10/31 10:00,96994,102925,199919
2020/10/31 11:00,68407,122264,190671
2020/10/31 12:00,58625,144758,203383
2020/10/31 13:00,65029,113871,178900
2020/10/31 14:00,74257,111141,185398
2020/10/31 15:00,89364,102338,191702
2020/10/31 16:00,87915,104770,192685
2020/10/31 17:00,71838,122959,194797
2020/10/31 18:00,61571,161096,222667
2020/10/31 19:00,52939,117968,170907
2020/10/31 20:00,40994,115584,156578
2020/10/31 21:00,29383,92999,122382
2020/10/31 22:00,22562,86010,108572
2020/10/31 23:00,21214,60857,82071
2020/11/5 0:59,13904,45189,59093
2020/11/5 1:59,9185,29502,38687
2020/11/5 2:59,6710,13072,19782
2020/11/5 3:59,6116,8663,14779
2020/11/5 4:59,8773,7162,15935
2020/11/5 5:59,33229,11559,44788
2020/11/5 6:59,72445,36115,108560
2020/11/5 7:59,76009,75880,151889
2020/11/5 8:59,68074,91197,159271
2020/11/5 9:59,72580,89137,161717
2020/11/5 10:59,104029,109318,213347
2020/11/5 11:59,112170,126673,238843
2020/11/5 12:59,67439,173661,241100
2020/11/5 13:59,53770,92755,146525
2020/11/5 14:59,59274,88781,148055
2020/11/5 15:59,71144,96849,167993
2020/11/5 16:59,96879,102230,199109
2020/11/5 17:59,98025,129912,227937
2020/11/5 18:59,75756,127819,203575
2020/11/5 19:59,62795,111628,174423
2020/11/5 20:59,57460,105240,162700
2020/11/5 21:59,47357,92398,139755
2020/11/5 22:59,27940,70864,98804
2020/11/5 23:59,23257,58454,81711
2020/11/12 0:59,12926,69892,82818
2020/11/12 1:59,9351,23712,33063
2020/11/12 2:59,6784,12731,19515
2020/11/12 3:59,5696,9107,14803
2020/11/12 4:59,8593,7260,15853
2020/11/12 5:59,32626,11230,43856
2020/11/12 6:59,72016,38660,110676
2020/11/12 7:59,75018,79263,154281
2020/11/12 8:59,68121,94339,162460
2020/11/12 9:59,72834,89716,162550
2020/11/12 10:59,98214,104550,202764
2020/11/12 11:59,107182,126924,234106
2020/11/12 12:59,59096,133536,192632
2020/11/12 13:59,51588,90954,142542
2020/11/12 14:59,58433,81929,140362
2020/11/12 15:59,72431,84661,157092
2020/11/12 16:59,94570,98476,193046
2020/11/12 17:59,94165,123383,217548
